,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
attawapiskat,,,,,,,
bethel,40,US,30,41.37,-73.41,48.99,3.36
cedar city,40,US,62,37.68,-113.06,51.8,8.05
sabha,0,LY,70,27.04,14.43,48.54,9.15
east london,100,ZA,85,-33.02,27.91,71.74,11.14
chuy,100,UY,86,-33.7,-53.46,72.03,13.6
kahului,40,US,78,20.89,-156.47,77,6.93
hasaki,20,JP,34,35.73,140.83,59,6.93
labuhan,100,ID,67,-6.88,112.21,86.34,3.31
verkh-chebula,99,RU,89,56.03,87.62,20.71,16.02
luanda,75,AO,83,-8.84,13.23,80.6,3.36
svetlogorsk,0,BY,74,52.63,29.73,37.26,14.03
indramayu,68,ID,69,-6.33,108.32,85.12,4.79
tiksi,0,RU,73,71.69,128.87,-11.96,12.17
lorengau,100,PG,72,-2.02,147.27,84.18,10.85
chik,90,RU,79,54.99,82.43,21.2,11.18
fort nelson,40,CA,72,58.81,-122.7,12.2,9.17
khatanga,100,RU,93,71.97,102.5,21.2,17.72
cidreira,1,BR,85,-30.18,-50.21,75.25,23.6
nantucket,90,US,86,41.28,-70.1,41,4.7
tumannyy,,,,,,,
longlac,,,,,,,
fort saint john,,,,,,,
priupskiy,86,RU,87,53.91,37.74,39.65,15.05
margate,75,GB,71,51.38,1.39,50,17.22
ciro marina,0,IT,70,39.37,17.13,53.29,11.05
saldanha,65,ZA,87,-33.01,17.94,60.8,13.87
sault sainte marie,90,CA,97,46.52,-84.33,32,5.82
waingapu,100,ID,75,-9.66,120.26,84.47,9.98
takoradi,54,GH,91,4.88,-1.76,78.28,2.3
gilbues,100,BR,89,-9.83,-45.34,73.44,2.91
beyneu,100,KZ,41,45.32,55.2,42.04,12.33
kuusamo,90,FI,100,65.97,29.18,26.6,3.36
belorechensk,0,RU,93,44.76,39.87,46.4,6.71
peleduy,100,RU,94,59.63,112.74,0.86,12.5
sijunjung,15,ID,62,-0.69,100.95,85.23,2.13
aliaga,75,PH,58,15.52,120.87,84.2,2.24
lata,90,PT,93,40.16,-8.33,60.01,4.7
ancud,100,CL,93,-41.87,-73.82,53.6,2.24
oktyabrskoye,68,RU,68,43.06,44.74,45.32,1.97
imbituba,20,BR,94,-28.24,-48.67,77,6.93
soyo,76,AO,87,-6.13,12.37,79.03,1.63
leshukonskoye,100,RU,98,64.9,45.76,33.42,6.04
nabire,25,ID,58,-3.37,135.48,88.52,6.67
rio gallegos,67,AR,93,-51.62,-69.22,50,6.93
saskylakh,98,RU,91,71.92,114.08,0.18,20
poopo,75,BO,50,-18.37,-66.97,51.8,6.62
ajaigarh,63,IN,36,24.9,80.27,74.62,4.47
leningradskiy,100,RU,82,69.38,178.42,-4.77,14.58
tias,79,ES,77,28.96,-13.64,64.4,5.82
shimoda,75,JP,47,34.67,138.95,59,12.75
grindavik,100,IS,74,63.84,-22.43,30.2,25.28
zelenyy bor,68,RU,58,53.67,91.67,24.8,6.71
tuatapere,29,NZ,66,-46.13,167.68,60.01,8.99
plettenberg bay,99,ZA,88,-34.05,23.37,66.65,9.71
severo-kurilsk,97,RU,87,50.68,156.12,19.65,28.68
tamworth,20,GB,60,52.63,-1.7,42.01,14.99
sumbawa,,,,,,,
namibe,35,AO,84,-15.2,12.15,75.49,4.05
leh,100,IN,86,34.17,77.58,13.89,5.55
porosozero,100,RU,98,62.72,32.73,33.24,5.53
quatre cocos,40,MU,100,-20.21,57.76,79,9.55
anloga,20,GH,83,5.79,0.9,82.4,8.05
lensk,98,RU,89,60.73,114.93,0.97,13.69
porkhov,100,RU,86,57.77,29.56,41,13.42
jamestown,90,US,86,42.1,-79.24,39.99,4.7
mutare,85,ZW,98,-18.97,32.67,62.8,3.24
kavieng,89,PG,74,-2.57,150.8,84.15,11.48
sitka,75,US,69,57.05,-135.33,37.4,9.17
deer lake,90,CA,92,49.17,-57.43,19.4,3.94
palabuhanratu,,,,,,,
khandyga,100,RU,95,62.67,135.6,-6.05,7.2
pochutla,5,MX,69,15.74,-96.47,82.4,12.97
ponta do sol,20,PT,67,32.67,-17.1,57.2,3.36
hailun,33,CN,69,47.45,126.93,16.7,18.68
luderitz,0,NA,88,-26.65,15.16,62.6,2.24
thinadhoo,100,MV,72,0.53,72.93,83.17,13.29
longyearbyen,75,SJ,68,78.22,15.64,-20.2,2.24
nouadhibou,0,MR,64,20.93,-17.03,68,11.41
salalah,20,OM,64,17.02,54.09,71.6,4.7
thunder bay,90,CA,92,48.4,-89.32,32,9.17
lebanon,75,US,87,36.21,-86.29,55.99,4.07
makakilo city,1,US,57,21.35,-158.09,80.6,16.11
abu dhabi,0,AE,88,24.47,54.37,68,4.7
laguna,1,US,42,38.42,-121.42,70,3.09
kivsharivka,68,UA,84,49.62,37.7,45.16,15.79
rio grande,100,BR,89,-32.03,-52.1,73,1.99
diffa,68,NE,13,13.32,12.61,69.08,17.54
mar del plata,100,AR,93,-38,-57.56,69.01,9.17
camacha,20,PT,87,33.08,-16.33,57.2,3.36
inzhavino,98,RU,88,52.32,42.49,43.45,16.17
necochea,44,AR,86,-38.55,-58.74,66.99,10
kargopol,100,RU,98,61.51,38.95,35.2,6.13
pevek,100,RU,78,69.7,170.31,-0.15,4.36
saint-philippe,39,RE,94,-21.36,55.77,78.8,17.22
puerto escondido,5,MX,69,15.85,-97.07,82.4,2.91
shurugwi,93,ZW,95,-19.67,30.01,60.64,4
saint-augustin,99,CA,94,51.23,-58.65,13.89,4.36
kruisfontein,69,ZA,91,-34,24.73,66.16,11.03
saint george,1,US,63,37.1,-113.58,63,9.17
alta floresta,100,BR,98,-9.88,-56.09,70.32,2.84
hofn,100,IS,65,64.25,-15.21,36.57,35.19
north bend,1,US,81,43.41,-124.22,54,23.04
ilinsko-podomskoye,,,,,,,
ilulissat,13,GL,70,69.22,-51.1,1.4,6.93
yazoo city,1,US,72,32.86,-90.41,70,5.82
san quintin,100,MX,85,30.48,-115.95,63.72,2.33
palu,1,ID,50,-0.89,119.87,87.71,3.24
severodvinsk,90,RU,100,64.56,39.83,33.8,4.47
malwan,,,,,,,
letlhakane,0,BW,49,-21.42,25.58,69.64,7
maiduguri,100,NG,25,11.85,13.16,72.03,15.32
cabedelo,75,BR,88,-6.98,-34.83,80.6,4.7
san patricio,20,MX,78,19.22,-104.7,77,2.77
grand river south east,,,,,,,
lolua,,,,,,,
partenit,92,UA,81,44.58,34.34,50.86,11.88
baturaja,33,ID,66,-4.13,104.17,85.51,6.69
el coyote,75,MX,25,25.7,-103.27,84.2,4.7
lasa,21,IT,63,46.62,10.7,42.01,4.7
taburi,,,,,,,
rockport,75,US,100,28.02,-97.05,72,11.41
acari,69,PE,76,-15.43,-74.62,70.09,1.92
qaqortoq,38,GL,44,60.72,-46.03,21.2,4.7
korla,0,CN,91,41.76,86.15,41,1.01
sangueya,100,GN,88,10.7,-14.37,76.15,4.85
progreso,5,MX,78,21.28,-89.67,75.99,13.87
tahe,100,CN,88,52.33,124.73,-1.03,16.6
mamakan,95,RU,87,57.82,114,-11.83,3.85
coahuayana,69,MX,82,18.73,-103.68,70.11,3.2
airai,92,TL,75,-8.93,125.41,79.05,3.02
alice springs,28,AU,18,-23.7,133.88,93.2,5.82
tofield,75,CA,92,53.37,-112.67,30,4.7
mao,90,ES,93,39.89,4.27,57.2,5.82
linden,20,GY,88,6,-58.3,73.4,4.7
chiang klang,38,TH,64,19.29,100.86,75.2,1.12
eureka,1,US,76,40.8,-124.16,54,9.17
mugla,15,TR,100,37.23,28.36,46.4,3.36
greenwood,1,US,82,34.17,-82.12,64.99,9.17
bay roberts,90,CA,93,47.6,-53.26,33.01,8.05
aflu,,,,,,,
iranshahr,0,IR,31,27.2,60.68,46.4,4.7
provideniya,90,RU,85,64.38,-173.3,12.2,20.13
staraya toropa,100,RU,95,56.28,31.67,36.88,13.33
mount gambier,58,AU,25,-37.83,140.77,89.6,17.22
omboue,97,GA,92,-1.57,9.26,74.19,1.1
lingao,0,CN,84,19.91,109.69,74.98,3.02
paamiut,100,GL,88,61.99,-49.67,17.2,3.4
mecca,0,SA,59,21.43,39.83,74.77,0.83
srivardhan,0,IN,63,18.03,73.02,73.74,8.08
san cristobal,75,VE,78,7.77,-72.22,78.8,2.24
cacequi,87,BR,45,-29.88,-54.83,80.44,13.35
araxa,0,BR,95,-19.59,-46.94,63.79,3.71
kota kinabalu,20,MY,74,5.97,116.07,87.8,5.82
lanxi,100,CN,34,29.22,119.48,64,4.92
naryan-mar,100,RU,96,67.67,53.09,27.91,11.61
tsihombe,,,,,,,
high level,90,CA,73,58.52,-117.14,21.2,5.82
geraldton,40,AU,57,-28.77,114.6,78.8,10.29
cervo,99,ES,1,43.67,-7.41,53.01,2.1
richards bay,10,ZA,80,-28.78,32.04,76.24,22.19
magistralnyy,100,RU,92,56.17,107.45,11.95,10.33
suluq,0,LY,79,31.67,20.25,52.21,10.04
medina,100,SA,17,24.47,39.61,77,4.7
gyor,7,HU,81,47.68,17.64,55.4,6.85
krasnovishersk,100,RU,93,60.41,57.08,33.04,10.56
timizart,24,DZ,68,36.8,4.27,62.55,2.82
sentyabrskiy,,,,,,,
celestun,0,MX,81,20.87,-90.4,74.95,15.43
belushya guba,,,,,,,
lahaina,75,US,65,20.88,-156.68,78.8,4.7
weiser,1,US,19,44.25,-116.97,62.01,11.41
touros,40,BR,88,-5.2,-35.46,78.8,3.36
iralaya,0,HN,81,15,-83.23,78.55,18.16
yabrud,68,SY,76,33.97,36.66,51.8,4.88
saint-pierre,76,RE,94,-21.34,55.48,78.8,17.22
itoman,75,JP,59,26.12,127.67,62.6,6.93
kieta,100,PG,83,-6.22,155.63,81.36,19.08
kawalu,43,ID,54,-7.38,108.21,87.98,0.6
talnakh,75,RU,76,69.49,88.4,-5.8,26.84
la palma,1,US,59,33.85,-118.05,66.99,4.7
abha,20,SA,87,18.22,42.51,59,1.41
nyurba,100,RU,94,63.28,118.33,-8.79,11.16
asau,2,RO,86,46.43,26.4,42.01,1.12
gualeguaychu,37,AR,79,-33.01,-58.52,70.43,5.46
fairview,1,US,34,40.81,-74,50,3.83
dunedin,2,NZ,59,-45.87,170.5,61,13
husavik,90,IS,92,66.04,-17.34,26.6,29.97
northam,20,GB,80,51.03,-4.22,45,10.29
laramie,75,US,52,41.31,-105.59,46.4,9.17
bubaque,0,GW,68,11.28,-15.83,80.4,9.37
durban,39,ZA,88,-29.86,31.03,73,3.36
kirakira,100,SB,81,-10.45,161.92,82.33,12.12
goundam,100,ML,5,16.41,-3.67,74.1,9.69
kamsack,20,CA,91,51.57,-101.9,32,16.11
wagar,10,SD,71,16.15,36.2,72,9.91
ostersund,90,SE,80,63.18,14.64,30.2,8.05
cabo san lucas,40,MX,39,22.89,-109.91,84,10.29
auch,73,FR,93,43.65,0.58,53.01,1.12
sabang,23,ID,73,5.89,95.32,83.07,8.41
matehuala,86,MX,57,23.65,-100.65,68.79,7.76
huarmey,0,PE,71,-10.07,-78.15,71.98,1.83
kazalinsk,,,,,,,
kamaishi,75,JP,49,39.27,141.88,48.2,10.29
valdivia,97,CL,82,-39.81,-73.25,59,2.24
yichang,44,CN,57,30.71,111.28,61.43,1.39
voh,0,NC,73,-20.97,164.7,83.23,7.45
cedral,62,MX,60,23.8,-100.73,66.6,7.4
altukhovo,75,RU,80,52.67,34.36,39.2,13.42
sisimiut,0,GL,90,66.94,-53.67,-6.77,5.44
kamen-rybolov,100,RU,89,44.75,132.04,33.91,15.3
san nicolas,20,PH,79,18.17,120.6,84.2,6.93
mercedes,100,AR,99,-34.65,-59.43,69.01,1.99
tagbina,37,PH,58,8.45,126.17,84.7,7.38
kazachinskoye,100,RU,89,57.7,93.28,23.34,13.02
kiama,40,AU,50,-34.68,150.87,78.01,13.87
astorga,17,BR,54,-23.23,-51.67,82.4,7.43
dzhubga,39,RU,97,44.32,38.7,42.96,4.18
muyezerskiy,100,RU,98,63.93,31.65,31.95,5.88
aden,67,YE,70,12.78,45.04,73.42,12.28
la ronge,90,CA,79,55.1,-105.28,24.8,18.34
turinsk,100,RU,86,58.05,63.7,34.2,11.68
yankton,1,US,76,42.87,-97.4,51.8,12.75
teul,,,,,,,
belmonte,75,BR,94,-15.86,-38.88,75.2,5.82
adra,100,ES,54,36.75,-3.02,60.01,5.82
karakendzha,,,,,,,
abai,85,PY,52,-26.03,-55.93,77.7,5.12
paso de carrasco,90,UY,78,-34.86,-56.05,73.4,3.36
bolungarvik,,,,,,,
ostrovnoy,96,RU,94,68.05,39.51,25.56,11.52
pisco,100,PE,78,-13.7,-76.22,75.2,8.05
romitan,0,UZ,74,39.93,64.38,35.6,2.24
alihe,100,CN,66,50.57,123.72,4.03,17.07
pacific grove,40,US,72,36.62,-121.92,64,3.36
kedrovka,90,RU,73,55.53,86.05,21.2,15.66
sulangan,0,PH,68,11.14,123.72,81.81,12.21
vaitape,100,PF,69,-16.52,-151.75,83.28,6.31
cururupu,100,BR,96,-1.83,-44.87,73.9,0.67
altar,100,MX,78,30.7,-111.82,69.01,4.21
taft,0,IR,15,31.75,54.21,41,6.93
tecoanapa,0,MX,80,16.52,-98.75,74.39,0.58
komsomolskiy,75,UZ,50,40.43,71.72,39.2,2.24
sur,0,OM,29,22.57,59.53,63.59,1.01
khani,40,GE,93,41.96,42.96,44.6,4.7
kaitangata,86,NZ,81,-46.28,169.85,55.13,17.16
grenville,20,GD,74,12.12,-61.62,78.8,12.75
kegayli,,,,,,,
skalistyy,,,,,,,
naze,75,JP,52,28.37,129.48,64.4,4.7
iqaluit,5,CA,68,63.75,-68.51,-18,2.24
kulebaki,100,RU,81,55.41,42.53,41.27,10.2
yulara,1,AU,13,-25.24,130.99,96.8,8.05
ahipara,3,NZ,70,-35.17,173.17,67.87,8.68
aberdeen,100,GB,69,57.14,-2.1,37,10.29
bilibino,100,RU,92,68.05,166.44,-0.11,5.55
mariveles,40,PH,52,14.48,120.48,91,17.22
santiago,62,CL,46,-33.46,-70.65,71.6,10.29
hajdudorog,2,HU,100,47.82,21.5,41,6.93
ranfurly,2,NZ,46,-45.13,170.1,68,4.81
isla mujeres,5,MX,73,21.23,-86.73,75.2,4.7
petropavlovsk-kamchatskiy,75,RU,64,53.05,158.65,37.4,20.13
man,60,CI,94,7.41,-7.55,70.61,2.46
wagga wagga,40,AU,38,-35.12,147.37,78.01,10.29
clifton,1,US,45,40.86,-74.16,50,3.83
kamenskoye,,,,,,,
nola,0,IT,93,40.92,14.53,55.99,2.24
dudinka,75,RU,76,69.41,86.18,-5.8,26.84
bara,100,NG,14,10.37,10.73,72.7,9.17
auki,100,SB,81,-8.77,160.7,81.5,11.05
aksarka,100,RU,93,66.56,67.8,13.95,13.15
nurlat,75,RU,83,54.43,50.81,36.81,18.75
san francisco,20,US,67,37.77,-122.42,68,18.34
great falls,90,US,100,47.5,-111.3,28.4,8.05
vanimo,100,PG,74,-2.67,141.3,82.81,10.69
gijon,90,ES,87,43.54,-5.66,55.99,3.36
hamilton,90,US,81,39.18,-84.53,48.99,2.37
mahebourg,40,MU,100,-20.41,57.7,79,5.41
methoni,4,GR,87,36.82,21.7,54,5.82
punta gorda,90,US,82,26.93,-82.05,73.4,3.36
batouri,100,CM,78,4.43,14.37,71.83,3.74
hualmay,100,PE,69,-11.1,-77.61,72.91,3.33
maumere,84,ID,72,-8.62,122.21,83.37,7.36
lompoc,40,US,82,34.64,-120.46,62.01,3.36
crab hill,,,,,,,
riverton,1,US,75,40.52,-111.94,53.6,4.7
vestmanna,100,FO,86,62.16,-7.17,37.4,10.29
soe,71,ID,80,-9.86,124.28,82.27,2.62
punta de bombon,46,PE,83,-17.17,-71.79,70.07,8.21
kulhudhuffushi,100,MV,69,6.62,73.07,83.08,8.79
taksimo,0,RU,72,56.34,114.88,-7.67,3.47
samarai,100,PG,84,-10.62,150.67,82.76,6.78
barawe,,,,,,,
dwarka,0,IN,52,22.24,68.97,73.89,15.88
aldan,100,RU,82,58.6,125.39,-16.64,4.76
jalu,41,LY,61,29.03,21.55,55.65,13.76
tucuma,100,BR,89,-0.18,-50.05,77.45,6.8
bulgan,0,MN,68,48.81,103.53,12.47,6.11
sale,33,MA,93,34.04,-6.82,46.4,3.36
norsup,75,VU,70,-16.07,167.38,87.8,11.41
victoria point,75,AU,83,-27.58,153.3,75.99,13.87
college,90,US,59,64.86,-147.8,1,1.97
nhulunbuy,75,AU,66,-12.23,136.77,89.6,10.29
skibbereen,75,IE,93,51.55,-9.27,35.6,12.75
coihaique,100,CL,81,-45.58,-72.07,50,4.65
taua,52,BR,92,-5.97,-40.3,71.17,1.01
maniitsoq,80,GL,76,65.42,-52.9,13.57,10.94
urtaaul,,,,,,,
kichera,100,RU,93,55.94,110.1,-1.5,9.24
ulaangom,1,MN,77,49.98,92.07,3.27,2.66
smidovich,100,RU,89,48.6,133.82,23.58,11.88
atar,0,MR,8,20.52,-13.05,66.9,6.46
moultrie,1,US,82,31.18,-83.79,66.2,7.07
praia da vitoria,75,PT,82,38.73,-27.07,57.2,15.03
ye,,,,,,,
syracuse,0,IT,93,37.09,15.28,50,5.82
bela,21,IN,64,25.93,81.98,74.08,10.78
kaeo,67,NZ,67,-35.1,173.78,73.99,5.01
furth im wald,75,DE,76,49.31,12.84,50,10.29
snyder,1,US,49,32.72,-100.92,73.4,6.93
grand gaube,40,MU,100,-20.01,57.66,79,10.36
ashtabula,90,US,86,41.7,-80.77,44.01,2.13
aykhal,90,RU,77,66,111.5,1.4,8.95
kloulklubed,75,PW,74,7.04,134.26,84.2,14.99
shangqiu,100,CN,54,34.45,115.65,64.99,7.7
galiwinku,,,,,,,
san jose del palmar,40,CO,83,4.97,-76.23,73.4,4.7
cozumel,5,MX,83,20.51,-86.95,75.99,11.41
vila,46,PT,93,42.03,-8.16,54,3.36
shakawe,67,BW,81,-18.37,21.85,66.76,2.89
yinchuan,100,CN,19,38.47,106.27,45.07,1.74
kayes,0,ML,7,14,-11,76.3,7.31
dom pedrito,100,BR,68,-30.98,-54.67,74.73,17.56
arteaga,16,MX,82,18.47,-102.42,64.6,4.54
pringsewu,55,ID,68,-5.36,104.97,83.43,6.73
ambilobe,100,MG,92,-13.2,49.05,76.23,3.89
inuvik,40,CA,62,68.35,-133.72,-13,2.24
bosaso,100,SO,63,11.28,49.18,76.44,12.73
fairbanks,90,US,59,64.84,-147.72,1.99,2.28
noshiro,75,JP,60,40.2,140.02,44.6,14.99
cabra,74,ES,76,37.47,-4.44,64,1.12
doka,0,SD,23,13.52,35.77,76.15,7.11
poum,0,NC,79,-20.23,164.02,82.58,12.37
sinjar,33,IQ,52,36.32,41.88,54.36,4.81
rostaq,,,,,,,
pucallpa,75,PE,88,-8.38,-74.55,75.2,5.82
chokurdakh,0,RU,89,70.63,147.92,-20.47,2.66
puerto del rosario,40,ES,88,28.5,-13.86,64.4,4.7
sahuaripa,100,MX,65,29.05,-109.23,65.41,4.41
antalaha,100,MG,84,-14.9,50.28,81.28,22.79
mandeville,20,JM,73,18.04,-77.51,77,2.24
puerto cortes,,,,,,,
sambava,100,MG,87,-14.27,50.17,75.9,1.74
monroe,90,US,64,43.15,-77.68,36,5.82
bridlington,51,GB,80,54.08,-0.19,41,23.04
buta,100,CD,98,2.79,24.73,71.13,2.37
baruun-urt,0,MN,77,46.68,113.28,7.11,11.45
faanui,100,PF,69,-16.48,-151.75,83.28,6.31
mehamn,100,NO,93,71.04,27.85,24.01,11.05
tigzirt,0,DZ,65,36.89,4.12,62.26,6.96
rypefjord,75,NO,92,70.63,23.67,24.8,10.29
alofi,75,NU,88,-19.06,-169.92,82.4,6.93
alyangula,85,AU,55,-13.85,136.42,91.4,8.05
barbar,,,,,,,
erenhot,36,CN,40,43.65,111.98,23.56,7.29
ust-maya,100,RU,93,60.42,134.53,-6.99,8.93
huilong,22,CN,66,31.81,121.66,59,1.99
gazojak,0,TM,31,41.19,61.4,44.6,3.83
havelock,90,US,77,34.88,-76.9,64.4,8.05
turukhansk,100,RU,92,65.82,87.98,6.98,11.95
los llanos de aridane,75,ES,82,28.66,-17.92,66.99,9.17
nuuk,93,GL,78,64.18,-51.72,17.6,19.46
